sequence_id,game_id,period,play_clock,home_description,away_description,score,player1_id,player1_name,player1_team,player2_id,player2_name,player2_team,player3_id,player3_name,player3_team,event_type,event_description
212415,21600477,4,12:00,nan,nan,97 - 68,0,nan,nan,0,nan,nan,0,nan,nan,Start Period ,nan
212416,21600477,4,11:46,MISS Rudez 26' 3PT Jump Shot,nan,nan,204014,Damjan Rudez,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212417,21600477,4,11:44,Watson REBOUND (Off:1 Def:0),nan,nan,201228,C.J. Watson,ORL,0,nan,nan,0,nan,nan,Rebound ,Unknown
212418,21600477,4,11:35,MISS Payton 3' Layup,Hibbert BLOCK (1 BLK),nan,203901,Elfrid Payton,ORL,0,nan,nan,201579,Roy Hibbert,CHA,Missed Shot ,nan
212419,21600477,4,11:34,nan,Sessions REBOUND (Off:0 Def:3),nan,201196,Ramon Sessions,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212420,21600477,4,11:24,Hezonja S.FOUL (P1.T1) (M.Lindsay),nan,nan,1626209,Mario Hezonja,ORL,203087,Jeremy Lamb,CHA,0,nan,nan,Foul ,Shooting
212421,21600477,4,11:24,nan,Lamb Free Throw 1 of 2 (9 PTS),98 - 68,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
212422,21600477,4,11:24,nan,Lamb Free Throw 2 of 2 (10 PTS),99 - 68,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 2 of 2
212423,21600477,4,11:13,MISS Vucevic 8' Hook Shot,nan,nan,202696,Nikola Vucevic,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212424,21600477,4,11:12,nan,Kaminsky REBOUND (Off:0 Def:1),nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212425,21600477,4,11:01,nan,MISS Sessions 8' Jump Shot,nan,201196,Ramon Sessions,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212426,21600477,4,10:43,nan,Sessions REBOUND (Off:1 Def:3),nan,201196,Ramon Sessions,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212427,21600477,4,10:43,nan,Sessions 3' Layup (11 PTS),101 - 68,201196,Ramon Sessions,CHA,0,nan,nan,0,nan,nan,Made Shot ,nan
212428,21600477,4,10:39,Payton 10' Floating Jump Shot (2 PTS),nan,101 - 70,203901,Elfrid Payton,ORL,0,nan,nan,0,nan,nan,Made Shot ,nan
212429,21600477,4,10:17,nan,Kaminsky 7' Jump Shot (7 PTS),103 - 70,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Made Shot ,nan
212430,21600477,4,10:07,Vucevic 16' Jump Shot (19 PTS),nan,103 - 72,202696,Nikola Vucevic,ORL,0,nan,nan,0,nan,nan,Made Shot ,nan
212431,21600477,4,9:45,Vucevic STEAL (2 STL),Hibbert Lost Ball Turnover (P2.T11),nan,201579,Roy Hibbert,CHA,202696,Nikola Vucevic,ORL,0,nan,nan,Turnover ,Lost Ball
212432,21600477,4,9:43,nan,Sessions P.FOUL (P1.T1) (M.Lindsay),nan,201196,Ramon Sessions,CHA,203901,Elfrid Payton,ORL,0,nan,nan,Foul ,Personal
212433,21600477,4,9:43,SUB: Gordon FOR Watson,nan,nan,201228,C.J. Watson,ORL,203932,Aaron Gordon,ORL,0,nan,nan,Substitution ,nan
212434,21600477,4,9:32,MISS Gordon 2' Driving Layup,Hibbert BLOCK (2 BLK),nan,203932,Aaron Gordon,ORL,0,nan,nan,201579,Roy Hibbert,CHA,Missed Shot ,nan
212435,21600477,4,9:29,nan,Lamb REBOUND (Off:0 Def:2),nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212436,21600477,4,9:07,nan,MISS Kaminsky 8' Floating Jump Shot,nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212437,21600477,4,9:06,nan,Hibbert REBOUND (Off:1 Def:2),nan,201579,Roy Hibbert,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212438,21600477,4,9:06,nan,MISS Hibbert 1' Tip Layup Shot,nan,201579,Roy Hibbert,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212439,21600477,4,9:04,Hezonja REBOUND (Off:0 Def:1),nan,nan,1626209,Mario Hezonja,ORL,0,nan,nan,0,nan,nan,Rebound ,Unknown
212440,21600477,4,9:03,Hezonja Traveling Turnover (P1.T13),nan,nan,1626209,Mario Hezonja,ORL,0,nan,nan,0,nan,nan,Turnover ,Traveling
212441,21600477,4,8:48,nan,MISS Lamb 17' Pullup Jump Shot,nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212442,21600477,4,8:47,Vucevic REBOUND (Off:0 Def:5),nan,nan,202696,Nikola Vucevic,ORL,0,nan,nan,0,nan,nan,Rebound ,Unknown
212443,21600477,4,8:38,Vucevic 2' Driving Layup (21 PTS),nan,103 - 74,202696,Nikola Vucevic,ORL,0,nan,nan,0,nan,nan,Made Shot ,nan
212444,21600477,4,8:22,nan,Hornets Timeout: Regular (Reg.4 Short 1),nan,1610612766,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Regular
212445,21600477,4,8:22,nan,SUB: Hawes FOR Hibbert,nan,201579,Roy Hibbert,CHA,201150,Spencer Hawes,CHA,0,nan,nan,Substitution ,nan
212446,21600477,4,8:15,Vucevic BLOCK (1 BLK),MISS Kidd-Gilchrist 9' Jump Shot,nan,203077,Michael Kidd-Gilchrist,CHA,0,nan,nan,202696,Nikola Vucevic,ORL,Missed Shot ,nan
212447,21600477,4,8:15,nan,Hornets Rebound,nan,1610612766,nan,nan,0,nan,nan,0,nan,nan,Rebound ,Unknown
212448,21600477,4,8:15,Hezonja L.B.FOUL (P2.T2) (M.Lindsay),nan,nan,1626209,Mario Hezonja,ORL,201150,Spencer Hawes,CHA,0,nan,nan,Foul ,Loose Ball
212449,21600477,4,8:08,nan,Kaminsky Traveling Turnover (P2.T12),nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Turnover ,Traveling
212450,21600477,4,7:59,Hezonja 25' 3PT Jump Shot (3 PTS) (Gordon 2 AST),nan,103 - 77,1626209,Mario Hezonja,ORL,203932,Aaron Gordon,ORL,0,nan,nan,Made Shot ,nan
212451,21600477,4,7:43,Vucevic STEAL (3 STL),Lamb Bad Pass Turnover (P1.T13),nan,203087,Jeremy Lamb,CHA,202696,Nikola Vucevic,ORL,0,nan,nan,Turnover ,Bad Pass
212452,21600477,4,7:28,Payton 2' Driving Layup (4 PTS) (Vucevic 4 AST),nan,103 - 79,203901,Elfrid Payton,ORL,202696,Nikola Vucevic,ORL,0,nan,nan,Made Shot ,nan
212453,21600477,4,7:05,nan,Hawes 8' Hook Shot (2 PTS) (Kidd-Gilchrist 4 AST),105 - 79,201150,Spencer Hawes,CHA,203077,Michael Kidd-Gilchrist,CHA,0,nan,nan,Made Shot ,nan
212454,21600477,4,6:54,MISS Rudez 25' 3PT Jump Shot,nan,nan,204014,Damjan Rudez,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212455,21600477,4,6:53,nan,Lamb REBOUND (Off:0 Def:3),nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212456,21600477,4,6:42,nan,MISS Kaminsky 25' 3PT Jump Shot,nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212457,21600477,4,6:41,nan,Kidd-Gilchrist REBOUND (Off:3 Def:3),nan,203077,Michael Kidd-Gilchrist,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212458,21600477,4,6:36,nan,MISS Lamb 25' 3PT Jump Shot,nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Missed Shot ,nan
212459,21600477,4,6:35,nan,Kaminsky REBOUND (Off:1 Def:1),nan,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212460,21600477,4,6:23,nan,Sessions 23' Pullup Jump Shot (13 PTS),107 - 79,201196,Ramon Sessions,CHA,0,nan,nan,0,nan,nan,Made Shot ,nan
212461,21600477,4,6:12,Hezonja 21' Jump Shot (5 PTS),nan,107 - 81,1626209,Mario Hezonja,ORL,0,nan,nan,0,nan,nan,Made Shot ,nan
212462,21600477,4,5:58,nan,Lamb  Cutting Dunk Shot (12 PTS) (Hawes 1 AST),109 - 81,203087,Jeremy Lamb,CHA,201150,Spencer Hawes,CHA,0,nan,nan,Made Shot ,nan
212463,21600477,4,5:48,nan,Sessions P.FOUL (P2.T2) (B.Spooner),nan,201196,Ramon Sessions,CHA,203901,Elfrid Payton,ORL,0,nan,nan,Foul ,Personal
212464,21600477,4,5:48,nan,nan,nan,0,nan,nan,0,nan,nan,0,nan,nan,Timeout ,Official
212465,21600477,4,5:48,nan,SUB: Roberts FOR Sessions,nan,201196,Ramon Sessions,CHA,203148,Brian Roberts,CHA,0,nan,nan,Substitution ,nan
212466,21600477,4,5:48,SUB: Watson FOR Gordon,nan,nan,203932,Aaron Gordon,ORL,201228,C.J. Watson,ORL,0,nan,nan,Substitution ,nan
212467,21600477,4,5:48,SUB: Wilcox FOR Vucevic,nan,nan,202696,Nikola Vucevic,ORL,203912,CJ Wilcox,ORL,0,nan,nan,Substitution ,nan
212468,21600477,4,5:48,SUB: Zimmerman FOR Payton,nan,nan,203901,Elfrid Payton,ORL,1627757,Stephen Zimmerman,ORL,0,nan,nan,Substitution ,nan
212469,21600477,4,5:32,Zimmerman 2' Reverse Layup (2 PTS) (Rudez 1 AST),nan,109 - 83,1627757,Stephen Zimmerman,ORL,204014,Damjan Rudez,ORL,0,nan,nan,Made Shot ,nan
212470,21600477,4,5:15,Wilcox STEAL (1 STL),Hawes Bad Pass Turnover (P1.T14),nan,201150,Spencer Hawes,CHA,203912,CJ Wilcox,ORL,0,nan,nan,Turnover ,Bad Pass
212471,21600477,4,5:14,nan,Kidd-Gilchrist P.FOUL (P2.T3) (M.Lindsay),nan,203077,Michael Kidd-Gilchrist,CHA,204014,Damjan Rudez,ORL,0,nan,nan,Foul ,Personal
212472,21600477,4,5:05,MISS Rudez 7' Hook Shot,nan,nan,204014,Damjan Rudez,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212473,21600477,4,5:04,nan,Hawes REBOUND (Off:0 Def:1),nan,201150,Spencer Hawes,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212474,21600477,4,4:52,Hezonja BLOCK (1 BLK),MISS Kidd-Gilchrist 17' Pullup Jump Shot,nan,203077,Michael Kidd-Gilchrist,CHA,0,nan,nan,1626209,Mario Hezonja,ORL,Missed Shot ,nan
212475,21600477,4,4:50,Zimmerman REBOUND (Off:0 Def:1),nan,nan,1627757,Stephen Zimmerman,ORL,0,nan,nan,0,nan,nan,Rebound ,Unknown
212476,21600477,4,4:37,MISS Rudez 26' 3PT Jump Shot,nan,nan,204014,Damjan Rudez,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212477,21600477,4,4:36,Wilcox REBOUND (Off:1 Def:0),nan,nan,203912,CJ Wilcox,ORL,0,nan,nan,0,nan,nan,Rebound ,Unknown
212478,21600477,4,4:31,MISS Hezonja 25' 3PT Jump Shot,nan,nan,1626209,Mario Hezonja,ORL,0,nan,nan,0,nan,nan,Missed Shot ,nan
212479,21600477,4,4:30,nan,Lamb REBOUND (Off:0 Def:4),nan,203087,Jeremy Lamb,CHA,0,nan,nan,0,nan,nan,Rebound ,Unknown
212480,21600477,4,4:18,Rudez S.FOUL (P1.T3) (M.Lindsay),nan,nan,204014,Damjan Rudez,ORL,1626163,Frank Kaminsky,CHA,0,nan,nan,Foul ,Shooting
212481,21600477,4,4:18,nan,Kaminsky Free Throw 1 of 2 (8 PTS),110 - 83,1626163,Frank Kaminsky,CHA,0,nan,nan,0,nan,nan,Free Throw ,Free Throw 1 of 2
